updated,date through,zipcode,confirmed_cases
2020-04-05,2020-04-03,91915,8
2020-04-05,2020-04-03,91916,1
2020-04-05,2020-04-03,91932,3
2020-04-05,2020-04-03,91935,1
2020-04-05,2020-04-03,91941,8
2020-04-05,2020-04-03,91942,12
2020-04-05,2020-04-03,91945,13
2020-04-05,2020-04-03,91950,18
2020-04-05,2020-04-03,91977,24
2020-04-05,2020-04-03,91978,3
2020-04-05,2020-04-03,92004,1
2020-04-05,2020-04-03,92007,4
2020-04-05,2020-04-03,92008,8
2020-04-05,2020-04-03,92009,16
2020-04-05,2020-04-03,92010,9
2020-04-05,2020-04-03,92011,6
2020-04-05,2020-04-03,92014,12
2020-04-05,2020-04-03,92019,26
2020-04-05,2020-04-03,92020,39
2020-04-05,2020-04-03,92021,28
2020-04-05,2020-04-03,92024,23
2020-04-05,2020-04-03,92025,12
2020-04-05,2020-04-03,92026,7
2020-04-05,2020-04-03,92027,6
2020-04-05,2020-04-03,92028,6
2020-04-05,2020-04-03,92029,9
2020-04-05,2020-04-03,92037,31
2020-04-05,2020-04-03,92039,1
2020-04-05,2020-04-03,92040,9
2020-04-05,2020-04-03,92054,8
2020-04-05,2020-04-03,92056,11
2020-04-05,2020-04-03,92057,7
2020-04-05,2020-04-03,92058,5
2020-04-05,2020-04-03,92061,2
2020-04-05,2020-04-03,92064,13
2020-04-05,2020-04-03,92065,7
2020-04-05,2020-04-03,92066,2
2020-04-05,2020-04-03,92067,12
2020-04-05,2020-04-03,92069,7
2020-04-05,2020-04-03,92071,14
2020-04-05,2020-04-03,92075,4
2020-04-05,2020-04-03,92078,11
2020-04-05,2020-04-03,92081,10
2020-04-05,2020-04-03,92082,3
2020-04-05,2020-04-03,92083,2
2020-04-05,2020-04-03,92084,10
2020-04-05,2020-04-03,92085,1
2020-04-05,2020-04-03,92091,2
2020-04-05,2020-04-03,92093,4
2020-04-05,2020-04-03,92101,29
2020-04-05,2020-04-03,92102,14
2020-04-05,2020-04-03,92103,65
2020-04-05,2020-04-03,92104,34
2020-04-05,2020-04-03,92105,29
2020-04-05,2020-04-03,92106,9
2020-04-05,2020-04-03,92107,3
2020-04-05,2020-04-03,92108,14
2020-04-05,2020-04-03,92109,24
2020-04-05,2020-04-03,92110,15
2020-04-05,2020-04-03,92111,15
2020-04-05,2020-04-03,92113,29
2020-04-05,2020-04-03,92114,24
2020-04-05,2020-04-03,92115,21
2020-04-05,2020-04-03,92116,31
2020-04-05,2020-04-03,92117,19
2020-04-05,2020-04-03,92118,4
2020-04-05,2020-04-03,92119,6
2020-04-05,2020-04-03,92120,16
2020-04-05,2020-04-03,92121,3
2020-04-05,2020-04-03,92122,13
2020-04-05,2020-04-03,92123,16
2020-04-05,2020-04-03,92124,11
2020-04-05,2020-04-03,92126,22
2020-04-05,2020-04-03,92127,19
2020-04-05,2020-04-03,92128,25
2020-04-05,2020-04-03,92129,18
2020-04-05,2020-04-03,92130,21
2020-04-05,2020-04-03,92131,6
2020-04-05,2020-04-03,92136,2
2020-04-05,2020-04-03,92139,18
2020-04-05,2020-04-03,92145,1
2020-04-05,2020-04-03,92154,28
2020-04-05,2020-04-03,92161,2
2020-04-05,2020-04-03,92168,1
2020-04-05,2020-04-03,92173,12
2020-04-05,2020-04-03,92196,1
2020-04-05,2020-04-03,Unknown*,22
2020-04-05,2020-04-03,TOTAL,1209
2020-04-06,2020-04-05,91901,1
2020-04-06,2020-04-05,91902,11
2020-04-06,2020-04-05,91909,1
2020-04-06,2020-04-05,91910,30
2020-04-06,2020-04-05,91911,29
2020-04-06,2020-04-05,91913,25
2020-04-06,2020-04-05,91914,4
2020-04-06,2020-04-05,91915,12
2020-04-06,2020-04-05,91916,1
2020-04-06,2020-04-05,91932,7
2020-04-06,2020-04-05,91935,2
2020-04-06,2020-04-05,91941,8
2020-04-06,2020-04-05,91942,17
2020-04-06,2020-04-05,91945,13
2020-04-06,2020-04-05,91950,25
2020-04-06,2020-04-05,91977,30
2020-04-06,2020-04-05,91978,4
2020-04-06,2020-04-05,92004,1
2020-04-06,2020-04-05,92007,4
2020-04-06,2020-04-05,92008,8
2020-04-06,2020-04-05,92009,17
2020-04-06,2020-04-05,92010,9
2020-04-06,2020-04-05,92011,8
2020-04-06,2020-04-05,92014,13
2020-04-06,2020-04-05,92019,30
2020-04-06,2020-04-05,92020,44
2020-04-06,2020-04-05,92021,33
2020-04-06,2020-04-05,92024,26
2020-04-06,2020-04-05,92025,12
2020-04-06,2020-04-05,92026,8
